image_id,filename,label
train_00000,train_00000.jpg,77
train_00001,train_00001.jpg,6
train_00002,train_00002.jpg,29
train_00003,train_00003.jpg,78
train_00004,train_00004.jpg,81
train_00005,train_00005.jpg,85
train_00006,train_00006.jpg,78
train_00007,train_00007.jpg,29
train_00008,train_00008.jpg,36
train_00009,train_00009.jpg,77
train_00010,train_00010.jpg,102
train_00011,train_00011.jpg,84
train_00012,train_00012.jpg,57
train_00013,train_00013.jpg,72
train_00014,train_00014.jpg,82
train_00015,train_00015.jpg,53
train_00016,train_00016.jpg,74
train_00017,train_00017.jpg,3
train_00018,train_00018.jpg,16
train_00019,train_00019.jpg,57
train_00020,train_00020.jpg,14
train_00021,train_00021.jpg,14
train_00022,train_00022.jpg,94
train_00023,train_00023.jpg,78
train_00024,train_00024.jpg,81
train_00025,train_00025.jpg,78
train_00026,train_00026.jpg,36
train_00027,train_00027.jpg,20
train_00028,train_00028.jpg,29
train_00029,train_00029.jpg,82
train_00030,train_00030.jpg,56
train_00031,train_00031.jpg,20
train_00032,train_00032.jpg,53
train_00033,train_00033.jpg,83
train_00034,train_00034.jpg,69
train_00035,train_00035.jpg,34
train_00036,train_00036.jpg,72
train_00037,train_00037.jpg,87
train_00038,train_00038.jpg,58
train_00039,train_00039.jpg,92
train_00040,train_00040.jpg,51
train_00041,train_00041.jpg,57
train_00042,train_00042.jpg,95
train_00043,train_00043.jpg,28
train_00044,train_00044.jpg,70
train_00045,train_00045.jpg,82
train_00046,train_00046.jpg,96
train_00047,train_00047.jpg,42
train_00048,train_00048.jpg,8
train_00049,train_00049.jpg,100
train_00050,train_00050.jpg,1
train_00051,train_00051.jpg,5
train_00052,train_00052.jpg,3
train_00053,train_00053.jpg,2
train_00054,train_00054.jpg,102
train_00055,train_00055.jpg,82
train_00056,train_00056.jpg,80
train_00057,train_00057.jpg,68
train_00058,train_00058.jpg,18
train_00059,train_00059.jpg,97
train_00060,train_00060.jpg,9
train_00061,train_00061.jpg,44
train_00062,train_00062.jpg,77
train_00063,train_00063.jpg,38
train_00064,train_00064.jpg,41
train_00065,train_00065.jpg,8
train_00066,train_00066.jpg,61
train_00067,train_00067.jpg,17
train_00068,train_00068.jpg,72
train_00069,train_00069.jpg,43
train_00070,train_00070.jpg,3
train_00071,train_00071.jpg,91
train_00072,train_00072.jpg,67
train_00073,train_00073.jpg,65
train_00074,train_00074.jpg,97
train_00075,train_00075.jpg,52
train_00076,train_00076.jpg,64
train_00077,train_00077.jpg,61
train_00078,train_00078.jpg,70
train_00079,train_00079.jpg,94
train_00080,train_00080.jpg,28
train_00081,train_00081.jpg,7
train_00082,train_00082.jpg,90
train_00083,train_00083.jpg,35
train_00084,train_00084.jpg,65
train_00085,train_00085.jpg,90
train_00086,train_00086.jpg,102
train_00087,train_00087.jpg,90
train_00088,train_00088.jpg,43
train_00089,train_00089.jpg,11
train_00090,train_00090.jpg,52
train_00091,train_00091.jpg,44
train_00092,train_00092.jpg,60
train_00093,train_00093.jpg,1
train_00094,train_00094.jpg,73
train_00095,train_00095.jpg,87
train_00096,train_00096.jpg,66
train_00097,train_00097.jpg,51
train_00098,train_00098.jpg,22
train_00099,train_00099.jpg,52
train_00100,train_00100.jpg,73
train_00101,train_00101.jpg,81
train_00102,train_00102.jpg,15
train_00103,train_00103.jpg,76
train_00104,train_00104.jpg,18
train_00105,train_00105.jpg,16
train_00106,train_00106.jpg,40
train_00107,train_00107.jpg,92
train_00108,train_00108.jpg,5
train_00109,train_00109.jpg,68
train_00110,train_00110.jpg,33
train_00111,train_00111.jpg,83
train_00112,train_00112.jpg,17
train_00113,train_00113.jpg,72
train_00114,train_00114.jpg,43
train_00115,train_00115.jpg,38
train_00116,train_00116.jpg,11
train_00117,train_00117.jpg,68
train_00118,train_00118.jpg,85
train_00119,train_00119.jpg,69
train_00120,train_00120.jpg,21
train_00121,train_00121.jpg,22
train_00122,train_00122.jpg,84
train_00123,train_00123.jpg,94
train_00124,train_00124.jpg,17
train_00125,train_00125.jpg,23
train_00126,train_00126.jpg,74
train_00127,train_00127.jpg,89
train_00128,train_00128.jpg,52
train_00129,train_00129.jpg,66
train_00130,train_00130.jpg,72
train_00131,train_00131.jpg,22
train_00132,train_00132.jpg,45
train_00133,train_00133.jpg,79
train_00134,train_00134.jpg,76
train_00135,train_00135.jpg,94
train_00136,train_00136.jpg,19
train_00137,train_00137.jpg,49
train_00138,train_00138.jpg,45
train_00139,train_00139.jpg,65
train_00140,train_00140.jpg,81
train_00141,train_00141.jpg,48
train_00142,train_00142.jpg,8
train_00143,train_00143.jpg,77
train_00144,train_00144.jpg,83
train_00145,train_00145.jpg,70
train_00146,train_00146.jpg,6
train_00147,train_00147.jpg,10
train_00148,train_00148.jpg,39
train_00149,train_00149.jpg,19
train_00150,train_00150.jpg,65
train_00151,train_00151.jpg,57
train_00152,train_00152.jpg,46
train_00153,train_00153.jpg,42
train_00154,train_00154.jpg,14
train_00155,train_00155.jpg,25
train_00156,train_00156.jpg,75
train_00157,train_00157.jpg,51
train_00158,train_00158.jpg,2
train_00159,train_00159.jpg,83
train_00160,train_00160.jpg,29
train_00161,train_00161.jpg,72
train_00162,train_00162.jpg,50
train_00163,train_00163.jpg,94
train_00164,train_00164.jpg,38
train_00165,train_00165.jpg,73
train_00166,train_00166.jpg,99
train_00167,train_00167.jpg,89
train_00168,train_00168.jpg,64
train_00169,train_00169.jpg,63
train_00170,train_00170.jpg,87
train_00171,train_00171.jpg,37
train_00172,train_00172.jpg,35
train_00173,train_00173.jpg,64
train_00174,train_00174.jpg,88
train_00175,train_00175.jpg,53
train_00176,train_00176.jpg,84
train_00177,train_00177.jpg,56
train_00178,train_00178.jpg,51
train_00179,train_00179.jpg,94
train_00180,train_00180.jpg,101
train_00181,train_00181.jpg,4
train_00182,train_00182.jpg,95
train_00183,train_00183.jpg,60
train_00184,train_00184.jpg,22
train_00185,train_00185.jpg,38
train_00186,train_00186.jpg,72
train_00187,train_00187.jpg,79
train_00188,train_00188.jpg,18
train_00189,train_00189.jpg,94
train_00190,train_00190.jpg,51
train_00191,train_00191.jpg,73
train_00192,train_00192.jpg,72
train_00193,train_00193.jpg,59
train_00194,train_00194.jpg,87
train_00195,train_00195.jpg,13
train_00196,train_00196.jpg,46
train_00197,train_00197.jpg,91
train_00198,train_00198.jpg,42
train_00199,train_00199.jpg,102
train_00200,train_00200.jpg,12
train_00201,train_00201.jpg,82
train_00202,train_00202.jpg,45
train_00203,train_00203.jpg,25
train_00204,train_00204.jpg,68
train_00205,train_00205.jpg,59
train_00206,train_00206.jpg,60
train_00207,train_00207.jpg,27
train_00208,train_00208.jpg,100
train_00209,train_00209.jpg,74
train_00210,train_00210.jpg,51
train_00211,train_00211.jpg,67
train_00212,train_00212.jpg,45
train_00213,train_00213.jpg,83
train_00214,train_00214.jpg,3
train_00215,train_00215.jpg,79
train_00216,train_00216.jpg,52
train_00217,train_00217.jpg,75
train_00218,train_00218.jpg,3
train_00219,train_00219.jpg,92
train_00220,train_00220.jpg,61
train_00221,train_00221.jpg,70
train_00222,train_00222.jpg,92
train_00223,train_00223.jpg,33
train_00224,train_00224.jpg,80
train_00225,train_00225.jpg,23
train_00226,train_00226.jpg,36
train_00227,train_00227.jpg,62
train_00228,train_00228.jpg,71
train_00229,train_00229.jpg,30
train_00230,train_00230.jpg,11
train_00231,train_00231.jpg,21
train_00232,train_00232.jpg,82
train_00233,train_00233.jpg,94
train_00234,train_00234.jpg,52
train_00235,train_00235.jpg,26
